t (s),RPM,Torque,Power (W),N_Re,N_Po
57.69364333152771,606.200385,0.0,0.0,45172.83867612226,0.0
57.79705357551575,604.573612,0.0,0.0,45051.61481003767,0.0
57.89960789680481,604.85491,0.0,0.0,45072.57657365303,0.0
58.00206232070923,606.189979,0.0,0.0,45172.06324184195,0.0
58.104642152786255,604.607989,0.0,0.0,45054.17651523217,0.0
58.20802617073059,605.390037,0.0,0.0,45112.45316601487,0.0
58.31076645851135,605.931996,0.0,0.0,45152.83886533454,0.0
58.41398096084595,605.146484,0.0,0.0,45094.30408420905,0.0
58.51662874221802,606.883504,0.0,0.0,45223.74333594625,0.0
58.72195053100586,605.223462,0.0,0.0,45100.040330608186,0.0
58.82515072822571,602.872769,0.0,0.0,44924.871395890186,0.0
58.92811942100525,595.672593,0.0,0.0,44388.32869988434,0.0
59.03110337257385,602.708608,0.0,0.0,44912.63844692908,0.0
59.13411903381348,601.840466,0.0,0.0,44847.9462436835,0.0
59.236573457717896,605.207369,0.0,0.0,45098.84111247701,0.0
59.33925485610962,608.306852,0.0,0.0,45329.808378422225,0.0
59.44270324707031,608.396239,0.0,0.0,45336.46931865034,0.0
59.54549527168274,599.83836,0.0,0.0,44698.75331410379,0.0
59.648643016815186,601.428175,0.0,0.0,44817.22314404275,0.0
59.84398317337036,597.314395,0.0,0.0,44510.67249695094,0.0
59.94757151603699,601.941045,0.0,0.0,44855.44118933783,0.0
60.050620555877686,602.912445,0.0,0.0,44927.8279719526,0.0
60.15353322029114,603.482949,0.0,0.0,44970.340787506284,0.0
60.2563271522522,604.297731,0.0,0.0,45031.056710413875,0.0
60.359628677368164,605.34953,0.0,0.0,45109.43466549668,0.0
60.46275091171265,606.522029,0.0,0.0,45196.80694285825,0.0
60.56557607650757,608.157121,0.0,0.0,45318.650724162704,0.0
60.66885304450989,608.6946,0.0,0.0,45358.702582854305,0.0
60.77176380157471,609.62931,0.0,0.0,45428.35530014672,0.0
60.96865701675415,611.17094,0.0,0.0,45543.23448038391,0.0
61.07028913497925,606.968743,0.0,0.0,45230.0951755214,0.0
61.17323637008667,604.82365,0.0,0.0,45070.24714105623,0.0
61.276514291763306,605.201799,0.0,0.0,45098.42604723184,0.0
61.37977576255798,602.711934,0.0,0.0,44912.88629378824,0.0
61.4826717376709,604.778688,0.0,0.0,45066.89666285989,0.0
61.58557987213135,608.833301,0.0,0.0,45369.03830360316,0.0
61.688584089279175,609.890991,0.0,0.0,45447.85524420828,0.0
61.79156708717346,608.679502,0.0,0.0,45357.577510130475,0.0
61.89478921890259,611.20012,0.0,0.0,45545.40891554624,0.0
62.096720695495605,613.413687,0.0,0.0,45710.35949536118,0.0
62.2000937461853,612.991202,0.0,0.0,45678.87675925556,0.0
62.30271625518799,613.062876,0.0,0.0,45684.21776219681,0.0
62.40619707107544,611.838523,0.0,0.0,45592.98142860124,0.0
62.508559703826904,609.668393,0.0,0.0,45431.26768703671,0.0
62.61212468147278,606.675945,0.0,0.0,45208.276454936626,0.0
62.715691566467285,608.268029,0.0,0.0,45326.91536621155,0.0
62.818543672561646,609.37615,0.0,0.0,45409.49032394047,0.0
62.921804428100586,611.672807,0.0,0.0,45580.63260415427,0.0
63.0250198841095,612.176862,0.0,0.0,45618.1937733028,0.0
