Sampling Window (ms),PWM (%),Comparison,Mean RPM Difference,SD Difference (RPM),CV Difference (%),Revolution Difference
10,30,100 PPR - 48 PPR,13.108552680000003,-3.223015660770736,-0.47148450496157923,2
10,30,125 PPR - 48 PPR,15.013903243749951,-5.451547825563601,-0.7741130050812239,2
10,30,192 PPR - 48 PPR,14.774124447500071,-3.037528233265146,-0.4505772901413856,2
10,30,200 PPR - 48 PPR,6.707448773750116,-3.659397928234645,-0.5153064435439201,1
10,30,250 PPR - 48 PPR,4.5399543225001935,-4.015729428223221,-0.5586178200080394,1
10,30,256 PPR - 48 PPR,9.933702876250209,-4.560973236379171,-0.644196878932616,2
10,30,100 PPR - 96 PPR,12.303358588749916,-2.5910489353654356,-0.3828497081794626,2
10,30,125 PPR - 96 PPR,14.208709152499864,-4.819581100158301,-0.6854782082991073,2
10,30,192 PPR - 96 PPR,13.968930356249984,-2.4055615078598453,-0.361942493359269,2
10,30,200 PPR - 96 PPR,5.902254682500029,-3.0274312028293444,-0.42667164676180347,1
10,30,250 PPR - 96 PPR,3.7347602312501067,-3.3837627028179202,-0.4699830232259228,1
10,30,256 PPR - 96 PPR,9.128508785000122,-3.9290065109738705,-0.5555620821504994,2
10,30,125 PPR - 100 PPR,1.9053505637499484,-2.228532164792865,-0.3026285001196447,0
10,30,192 PPR - 100 PPR,1.6655717675000687,0.18548742750559022,0.020907214820193643,0
10,30,200 PPR - 100 PPR,-6.401103906249887,-0.43638226746390885,-0.04382193858234085,-1
10,30,250 PPR - 100 PPR,-8.568598357499809,-0.7927137674524847,-0.08713331504646016,-1
10,30,256 PPR - 100 PPR,-3.174849803749794,-1.337957575608435,-0.17271237397103678,0
10,30,192 PPR - 125 PPR,-0.23977879624987963,2.4140195922984553,0.32353571493983835,0
10,30,200 PPR - 125 PPR,-8.306454469999835,1.7921498973289562,0.25880656153730386,-1
10,30,250 PPR - 125 PPR,-10.473948921249757,1.4358183973403804,0.21549518507318455,-1
10,30,256 PPR - 125 PPR,-5.080200367499742,0.8905745891844301,0.12991612614860792,0
10,30,200 PPR - 192 PPR,-8.066675673749955,-0.6218696949694991,-0.06472915340253449,-1
10,30,250 PPR - 192 PPR,-10.234170124999878,-0.9782011949580749,-0.1080405298666538,-1
10,30,256 PPR - 192 PPR,-4.840421571249863,-1.5234450031140252,-0.19361958879123042,0
10,30,250 PPR - 200 PPR,-2.1674944512499223,-0.35633149998857583,-0.04331137646411931,0
10,30,256 PPR - 200 PPR,3.226254102500093,-0.9015753081445261,-0.12889043538869593,1
10,30,256 PPR - 250 PPR,5.393748553750015,-0.5452438081559503,-0.08557905892457662,1
10,40,96 PPR - 48 PPR,12.969111504999887,1.2905575414834267,0.10686405282170819,1
10,40,100 PPR - 48 PPR,25.59015575499984,-2.9547277514934542,-0.33776486011613405,3
10,40,125 PPR - 48 PPR,26.305714939999916,-3.0724617703037396,-0.3504455609148458,3
10,40,192 PPR - 48 PPR,26.56635310125,-2.9366395548425164,-0.337340903934942,4
10,40,200 PPR - 48 PPR,17.01174325624993,-2.230450264750269,-0.25311462028581677,1
10,40,250 PPR - 48 PPR,13.792828746249825,-1.0377074626269653,-0.12848741428091692,1
10,40,256 PPR - 48 PPR,21.26491404624994,0.5184216585569104,0.014524326404252053,3
10,40,100 PPR - 96 PPR,12.621044249999954,-4.245285292976881,-0.44462891293784224,2
10,40,125 PPR - 96 PPR,13.336603435000029,-4.363019311787166,-0.457309613736554,2
10,40,192 PPR - 96 PPR,13.597241596250115,-4.227197096325943,-0.44420495675665017,3
10,40,200 PPR - 96 PPR,4.042631751250042,-3.521007806233696,-0.35997867310752496,0
10,40,250 PPR - 96 PPR,0.8237172412499376,-2.328265004110392,-0.2353514671026251,0
10,40,256 PPR - 96 PPR,8.295802541250055,-0.7721358829265164,-0.09233972641745614,2
10,40,125 PPR - 100 PPR,0.7155591850000746,-0.11773401881028533,-0.012680700798711753,0
10,40,192 PPR - 100 PPR,0.9761973462501601,0.01808819665093786,0.00042395618119206446,1
10,40,200 PPR - 100 PPR,-8.578412498749913,0.7242774867431852,0.08465023983031728,-2
10,40,250 PPR - 100 PPR,-11.797327008750017,1.917020288866489,0.20927744583521712,-2
10,40,256 PPR - 100 PPR,-4.3252417087499,3.4731494100503646,0.3522891865203861,0
10,40,192 PPR - 125 PPR,0.26063816125008543,0.1358222154612232,0.013104656979903817,1
10,40,200 PPR - 125 PPR,-9.293971683749987,0.8420115055534705,0.09733094062902903,-2
10,40,250 PPR - 125 PPR,-12.512886193750091,2.0347543076767742,0.22195814663392888,-2
