PPR,Sampling Window (ms),PWM (%),Settled Interval,Samples,Mean RPM,Median RPM,Standard Deviation (RPM),Coefficient of Variation (%),Minimum RPM,Maximum RPM,Filtered Mean RPM,Filtered SD (RPM),Revolution Increment,File
125,10,30,30+1 to 30+9 s,800,747.4546833612499,746.424515,10.871443861132821,1.4544619363738176,695.851575,804.91195,747.4436223212499,2.8519854121334967,99,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,40,40+1 to 40+9 s,800,1008.29269798625,1006.554052,14.138636128420554,1.4022352990017746,945.29244,1064.820765,1008.3020520075,3.572654796191562,134,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,50,50+1 to 50+9 s,800,1268.39081977,1265.8969284999998,18.64163646059353,1.4697076145642445,1187.961866,1345.443277,1268.284880535,4.4903159142469615,168,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,60,60+1 to 60+9 s,800,1527.07185497625,1523.99299,20.30970661044275,1.3299771418260222,1391.570979,1602.638853,1527.06937821,5.487579664994673,202,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,70,70+1 to 70+9 s,800,1784.5686056050001,1782.1763465,24.866220175538583,1.3934023100842625,1643.782199,1872.85942,1784.38721747,6.320416876741956,236,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,80,80+1 to 80+9 s,800,2046.1320819237503,2041.5568,29.217112609485913,1.4279191879937834,1888.783309,2162.057809,2046.00153572125,6.938372129254444,272,mixr1_log_20260902_142905_125ppr_10ms.csv
125,10,90,90+1 to 90+9 s,800,2300.79728478375,2298.028898,31.40294804644659,1.364872440267945,2095.048635,2420.164694,2300.79180123625,7.797543465603826,309,mixr1_log_20260902_142905_125ppr_10ms.csv
125,20,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,10,10+1 to 10+9 s,800,221.81918556625,224.0076315,15.739751785208165,7.095757630264685,191.98353,253.046428,221.60211338375,8.404369132615214,30,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,20,20+1 to 20+9 s,800,487.76168907,488.04013050000003,10.103018548505132,2.0713021901675472,449.85427,521.978286,487.782627455,3.3970465722744034,65,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,30,30+1 to 30+9 s,800,748.35583805125,748.5023125,9.727597560551065,1.299862587546873,727.611583,778.405868,748.34625955125,3.0144563346576567,100,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,40,40+1 to 40+9 s,800,1008.504057795,1007.604983,9.520901618152708,0.944061805657904,966.35864,1055.258725,1008.5098652137499,3.027210175768226,134,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,50,50+1 to 50+9 s,800,1268.55132856,1266.631492,11.879090415044725,0.9364296223259103,1211.736103,1319.971687,1268.48309907625,3.540720913963068,169,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,60,60+1 to 60+9 s,800,1527.8355890375,1525.851862,13.173071195832282,0.8622047614515251,1459.74141,1566.418032,1527.94493753625,4.041803189410172,204,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,70,70+1 to 70+9 s,800,1787.3119224162501,1784.295326,18.322918559899684,1.0251662471500276,1726.41426,1865.973503,1787.3189783287503,5.372366044543778,238,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,80,80+1 to 80+9 s,800,2046.3379985025,2039.8271435,21.979148744599804,1.0740722578911224,1966.775333,2111.847423,2046.33129854,6.325078940258233,273,mixr1_log_20260902_143106_125ppr_20ms.csv
125,20,90,90+1 to 90+9 s,800,2301.87715419125,2297.9905785,20.170449079086893,0.8762608830953731,2213.693735,2395.706893,2301.90877133125,5.256325037465215,308,mixr1_log_20260902_143106_125ppr_20ms.csv
192,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,10,10+1 to 10+9 s,800,220.3730951875,221.96277700000002,16.861950515459284,7.651546801170367,187.266834,256.889302,220.2394744475,9.042545619406521,29,mixr1_log_20260902_143435_192ppr_10ms.csv
192,10,20,20+1 to 20+9 s,800,486.35635316624996,487.1745,13.008550894703152,2.674695377168533,429.641056,527.344805,486.36210998499996,3.6865918050341877,64,mixr1_log_20260902_143435_192ppr_10ms.csv
